nflverse_game_id,week,posteam,defteam,p_113,p_122,p_221,p_131,p_212,p_014,p_103,p_112,p_111,p_104,p_121,p_230,p_211,p_120,p_023,p_130,p_140,p_123,p_114,p_203,p_220,p_234,p_032,p_102,p_202,p_132,p_041,p_311,p_005,p_141,p_031,p_020,p_320,p_010,p_110,p_022,p_213,p_001,p_101,p_301,p_040
2025_03_GB_CLE,3,CLE,GB,-4.500443374459822,-1.1681876648653997,0,-0.489261491689831,0,0,0,0,-1.1889031522441655,0,0,0,0,-0.11964383021404501,-2.086331812199205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_GB_CLE,3,GB,CLE,0.7720587621591446,-2.350452604703605,0,0,-0.8577062143012881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_HOU_JAX,3,HOU,JAX,-7.909612210163187,-0.21466973709175363,0,0,-3.699305448681116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25210619368590415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_HOU_JAX,3,JAX,HOU,1.3770491439782817,-6.011057249591696,0,-1.1867099296068773,0.5324398707598448,0,0,-4.644339404650964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_CIN_MIN,3,MIN,CIN,3.465019970212289,1.935491273412481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_CIN_MIN,3,CIN,MIN,-17.569033952153745,-21.270374459098093,0,0.6717922260868363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_PIT_NE,3,NE,PIT,-2.549237316532526,-6.49447468816652,0,0.6888546929694712,0.21557742409640923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_PIT_NE,3,PIT,NE,-2.249630919075571,4.966302338987589,0,-1.8639835900976323,-0.031111255753785372,0,0,0,0,0,1.6501636551693082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_LA_PHI,3,LA,PHI,8.0900413094254109,-7.952788084279746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_LA_PHI,3,PHI,LA,-7.006067611466162,5.119459121837281,0,3.47818485845346,-0.8427773870062083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_NYJ_TB,3,NYJ,TB,-8.895207776210288,-2.5753454461228102,0,0,2.8046663065324537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_NYJ_TB,3,TB,NYJ,-0.3172238865512321,1.676651103538461,0,-1.5861689958255738,-0.7068761677364819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_IND_TEN,3,TEN,IND,-9.027959396310443,-0.44380867574363947,0,0,0,0,0,0,0,0,0,0,0,0.7241390402778052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_IND_TEN,3,IND,TEN,11.495126110817235,12.15416754828766,0,-0.7280845751520246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_LV_WAS,3,WAS,LV,-0.40664390214851087,-5.123542700777762,0,6.428035079850815,4.769395828479901,2.732253080466762,0,3.8746506471652538,0,0,0.2409204957075417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_LV_WAS,3,LV,WAS,-1.0403470431626776,2.617710728838574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_DEN_LAC,3,LAC,DEN,-0.5217105306765251,1.397376641340088,0,0,0,0,-3.3923938483931124,-2.455330356635386,0.6098642683355138,3.2692665912327357,0.47569994378872904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_DEN_LAC,3,DEN,LAC,-13.206007650290971,6.549443258205429,3.66895241237944,-1.0887411418370903,-0.29502015840262175,-1.0301170903228614,0,0,0,0,0,0,-1.6876321760937572,0,0,0,0,0,0,0,0,0,0,0,0.8378919130191207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_03_NO_SEA,3,NO,SEA,-1.6193315918746563,-3.9370023879455402,0,-1.9154293579049408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5065728262998164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
